id,variavel,unidade,categoria_id,categoria_nome,localidade_id,localidade_nome,nivel_id,nivel_nome,ano,valor
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,1970,17958693
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,1980,25375199
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,1991,31546473
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,2000,36969476
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,2010,41262199
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,1950,2115547
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,1960,4296375
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,1970,6997682
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,1980,7749752
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,1991,8443299
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,2000,9558454
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,41,Paraná,N3,Unidade da Federação,2010,10444526
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,1950,1560502
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,1960,2146909
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,1970,2930411
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,1980,3687652
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,1991,4538248
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,2000,5349580
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,42,Santa Catarina,N3,Unidade da Federação,2010,6248436
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,1950,4164821
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,1960,5448823
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,1970,6755458
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,1980,7942722
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,1991,9135479
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,2000,10181749
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,43,Rio Grande do Sul,N3,Unidade da Federação,2010,10693929
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,1950,309395
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,1960,579652
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,1970,1010731
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,1980,1401151
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,1991,1778741
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,2000,2074877
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,50,Mato Grosso do Sul,N3,Unidade da Federação,2010,2449024
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,1950,212649
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,1960,330610
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,1970,612887
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,1980,1169812
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,1991,2022524
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,2000,2502260
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,51,Mato Grosso,N3,Unidade da Federação,2010,3035122
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,1950,1010880
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,1960,1626376
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,1970,2460007
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,1980,3229219
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,1991,4012562
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,2000,4996439
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,52,Goiás,N3,Unidade da Federação,2010,6003788
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,1950,0
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,1960,141742
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,1970,546015
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,1980,1203333
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,1991,1598415
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,2000,2043169
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,53,Distrito Federal,N3,Unidade da Federação,2010,2570160
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1950,13816
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1960,30842
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1970,60541
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1980,239436
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1991,658172
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,2000,883048
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,2010,1149180
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1950,21272
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1960,33998
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1970,60557
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1980,135754
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1991,258035
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,2000,370018
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,2010,532279
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1950,137736
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1960,239659
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1970,409278
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1980,869020
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1991,1501807
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,2000,2104290
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,2010,2755490
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1950,5132
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1960,12717
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1970,17929
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1980,49622
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1991,139466
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,2000,246732
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,2010,344859
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1950,389011
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1960,630672
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1970,1037340
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1980,1702403
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1991,2609777
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,2000,4116378
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,2010,5191559
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1950,13900
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1960,35390
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1970,63785
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1980,106424
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1991,233515
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,2000,423581
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,2010,601036
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1950,26297
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1960,57935
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1970,134793
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1980,296238
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1991,530795
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,2000,858915
"id    606
id      1
Name: 1, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,2010,1090106
