nome,grupo_idade,localidade,serie_2000,serie_2010,serie_2022
População,60 a 69 anos,Paraíba,...,...,317404
População,60 a 69 anos,Pernambuco,...,...,724940
População,60 a 69 anos,Alagoas,...,...,230172
População,60 a 69 anos,Sergipe,...,...,163089
População,60 a 69 anos,Bahia,...,...,1153753
População,60 a 69 anos,Minas Gerais,...,...,2013210
População,60 a 69 anos,Espírito Santo,...,...,362203
População,60 a 69 anos,Rio de Janeiro,...,...,1678255
População,60 a 69 anos,São Paulo,...,...,4266063
População,60 a 69 anos,Paraná,...,...,1069300
População,60 a 69 anos,Santa Catarina,...,...,688604
População,60 a 69 anos,Rio Grande do Sul,...,...,1204482
População,60 a 69 anos,Mato Grosso do Sul,...,...,224963
População,60 a 69 anos,Mato Grosso,...,...,258407
População,60 a 69 anos,Goiás,...,...,555696
População,60 a 69 anos,Distrito Federal,...,...,206463
População,70 anos ou mais,Rondônia,...,...,78039
População,70 anos ou mais,Acre,...,...,32878
População,70 anos ou mais,Amazonas,...,...,141243
População,70 anos ou mais,Roraima,...,...,18993
População,70 anos ou mais,Pará,...,...,368953
População,70 anos ou mais,Amapá,...,...,24437
População,70 anos ou mais,Tocantins,...,...,84535
População,70 anos ou mais,Maranhão,...,...,374322
População,70 anos ou mais,Piauí,...,...,234762
População,70 anos ou mais,Ceará,...,...,617636
População,70 anos ou mais,Rio Grande do Norte,...,...,233942
População,70 anos ou mais,Paraíba,...,...,297924
População,70 anos ou mais,Pernambuco,...,...,607219
População,70 anos ou mais,Alagoas,...,...,179049
População,70 anos ou mais,Sergipe,...,...,131520
População,70 anos ou mais,Bahia,...,...,1005526
População,70 anos ou mais,Minas Gerais,...,...,1646726
População,70 anos ou mais,Espírito Santo,...,...,269195
População,70 anos ou mais,Rio de Janeiro,...,...,1347374
População,70 anos ou mais,São Paulo,...,...,3384505
População,70 anos ou mais,Paraná,...,...,823820
População,70 anos ou mais,Santa Catarina,...,...,495789
População,70 anos ou mais,Rio Grande do Sul,...,...,988934
População,70 anos ou mais,Mato Grosso do Sul,...,...,166128
População,70 anos ou mais,Mato Grosso,...,...,172072
População,70 anos ou mais,Goiás,...,...,408721
População,70 anos ou mais,Distrito Federal,...,...,158627
População,Idade ignorada,Rondônia,...,...,...
População,Idade ignorada,Acre,...,...,...
População,Idade ignorada,Amazonas,...,...,...
População,Idade ignorada,Roraima,...,...,...
População,Idade ignorada,Pará,...,...,...
População,Idade ignorada,Amapá,...,...,...
População,Idade ignorada,Tocantins,...,...,...
População,Idade ignorada,Maranhão,...,...,...
População,Idade ignorada,Piauí,...,...,...
População,Idade ignorada,Ceará,...,...,...
População,Idade ignorada,Rio Grande do Norte,...,...,...
População,Idade ignorada,Paraíba,...,...,...
População,Idade ignorada,Pernambuco,...,...,...
População,Idade ignorada,Alagoas,...,...,...
População,Idade ignorada,Sergipe,...,...,...
População,Idade ignorada,Bahia,...,...,...
População,Idade ignorada,Minas Gerais,...,...,...
População,Idade ignorada,Espírito Santo,...,...,...
População,Idade ignorada,Rio de Janeiro,...,...,...
População,Idade ignorada,São Paulo,...,...,...
População,Idade ignorada,Paraná,...,...,...
População,Idade ignorada,Santa Catarina,...,...,...
População,Idade ignorada,Rio Grande do Sul,...,...,...
População,Idade ignorada,Mato Grosso do Sul,...,...,...
População,Idade ignorada,Mato Grosso,...,...,...
População,Idade ignorada,Goiás,...,...,...
População,Idade ignorada,Distrito Federal,...,...,...
